,Survived,Pclass,Sex,Age,Ticket,Fare,Embarked,family
445,1,1,1,4.0,33638,81.8583,S,2
446,1,2,0,13.0,250644,19.5,S,1
447,1,1,1,34.0,113794,26.55,S,0
448,1,3,0,5.0,2666,19.2583,C,3
449,1,1,1,52.0,113786,30.5,S,0
450,0,2,1,36.0,C.A. 34651,27.75,S,3
451,0,3,1,29.69911764705882,65303,19.9667,S,1
452,0,1,1,30.0,113051,27.75,C,0
453,1,1,1,49.0,17453,89.1042,C,1
454,0,3,1,29.69911764705882,A/5 2817,8.05,S,0
455,1,3,1,29.0,349240,7.8958,C,0
456,0,1,1,65.0,13509,26.55,S,0
457,1,1,0,29.69911764705882,17464,51.8625,S,1
458,1,2,0,50.0,F.C.C. 13531,10.5,S,0
459,0,3,1,29.69911764705882,371060,7.75,Q,0
460,1,1,1,48.0,19952,26.55,S,0
461,0,3,1,34.0,364506,8.05,S,0
462,0,1,1,47.0,111320,38.5,S,0
463,0,2,1,48.0,234360,13.0,S,0
464,0,3,1,29.69911764705882,A/S 2816,8.05,S,0
465,0,3,1,38.0,SOTON/O.Q. 3101306,7.05,S,0
466,0,2,1,29.69911764705882,239853,0.0,S,0
467,0,1,1,56.0,113792,26.55,S,0
468,0,3,1,29.69911764705882,36209,7.725,Q,0
469,1,3,0,0.75,2666,19.2583,C,3
470,0,3,1,29.69911764705882,323592,7.25,S,0
471,0,3,1,38.0,315089,8.6625,S,0
472,1,2,0,33.0,C.A. 34651,27.75,S,3
473,1,2,0,23.0,SC/AH Basle 541,13.7917,C,0
474,0,3,0,22.0,7553,9.8375,S,0
475,0,1,1,29.69911764705882,110465,52.0,S,0
476,0,2,1,34.0,31027,21.0,S,1
477,0,3,1,29.0,3460,7.0458,S,1
478,0,3,1,22.0,350060,7.5208,S,0
479,1,3,0,2.0,3101298,12.2875,S,1
480,0,3,1,9.0,CA 2144,46.9,S,7
481,0,2,1,29.69911764705882,239854,0.0,S,0
482,0,3,1,50.0,A/5 3594,8.05,S,0
483,1,3,0,63.0,4134,9.5875,S,0
484,1,1,1,25.0,11967,91.0792,C,1
485,0,3,0,29.69911764705882,4133,25.4667,S,4
486,1,1,0,35.0,19943,90.0,S,1
487,0,1,1,58.0,11771,29.7,C,0
488,0,3,1,30.0,A.5. 18509,8.05,S,0
489,1,3,1,9.0,C.A. 37671,15.9,S,2
490,0,3,1,29.69911764705882,65304,19.9667,S,1
491,0,3,1,21.0,SOTON/OQ 3101317,7.25,S,0
492,0,1,1,55.0,113787,30.5,S,0
493,0,1,1,71.0,PC 17609,49.5042,C,0
494,0,3,1,21.0,A/4 45380,8.05,S,0
495,0,3,1,29.69911764705882,2627,14.4583,C,0
496,1,1,0,54.0,36947,78.2667,C,1
497,0,3,1,29.69911764705882,C.A. 6212,15.1,S,0
498,0,1,0,25.0,113781,151.55,S,3
499,0,3,1,24.0,350035,7.7958,S,0
500,0,3,1,17.0,315086,8.6625,S,0
501,0,3,0,21.0,364846,7.75,Q,0
502,0,3,0,29.69911764705882,330909,7.6292,Q,0
503,0,3,0,37.0,4135,9.5875,S,0
504,1,1,0,16.0,110152,86.5,S,0
505,0,1,1,18.0,PC 17758,108.9,C,1
506,1,2,0,33.0,26360,26.0,S,2
507,1,1,1,29.69911764705882,111427,26.55,S,0
508,0,3,1,28.0,C 4001,22.525,S,0
509,1,3,1,26.0,1601,56.4958,S,0
510,1,3,1,29.0,382651,7.75,Q,0
511,0,3,1,29.69911764705882,SOTON/OQ 3101316,8.05,S,0
512,1,1,1,36.0,PC 17473,26.2875,S,0
513,1,1,0,54.0,PC 17603,59.4,C,1
514,0,3,1,24.0,349209,7.4958,S,0
515,0,1,1,47.0,36967,34.0208,S,0
516,1,2,0,34.0,C.A. 34260,10.5,S,0
517,0,3,1,29.69911764705882,371110,24.15,Q,0
518,1,2,0,36.0,226875,26.0,S,1
519,0,3,1,32.0,349242,7.8958,S,0
520,1,1,0,30.0,12749,93.5,S,0
521,0,3,1,22.0,349252,7.8958,S,0
522,0,3,1,29.69911764705882,2624,7.225,C,0
523,1,1,0,44.0,111361,57.9792,C,1
524,0,3,1,29.69911764705882,2700,7.2292,C,0
525,0,3,1,40.5,367232,7.75,Q,0
526,1,2,0,50.0,W./C. 14258,10.5,S,0
527,0,1,1,29.69911764705882,PC 17483,221.7792,S,0
528,0,3,1,39.0,3101296,7.925,S,0
529,0,2,1,23.0,29104,11.5,S,3
530,1,2,0,2.0,26360,26.0,S,2
531,0,3,1,29.69911764705882,2641,7.2292,C,0
532,0,3,1,17.0,2690,7.2292,C,2
533,1,3,0,29.69911764705882,2668,22.3583,C,2
534,0,3,0,30.0,315084,8.6625,S,0
535,1,2,0,7.0,F.C.C. 13529,26.25,S,2
536,0,1,1,45.0,113050,26.55,S,0
537,1,1,0,30.0,PC 17761,106.425,C,0
538,0,3,1,29.69911764705882,364498,14.5,S,0
539,1,1,0,22.0,13568,49.5,C,2
540,1,1,0,36.0,WE/P 5735,71.0,S,2
541,0,3,0,9.0,347082,31.275,S,6
542,0,3,0,11.0,347082,31.275,S,6
543,1,2,1,32.0,2908,26.0,S,1
544,0,1,1,50.0,PC 17761,106.425,C,1
545,0,1,1,64.0,693,26.0,S,0
546,1,2,0,19.0,2908,26.0,S,1
547,1,2,1,29.69911764705882,SC/PARIS 2146,13.8625,C,0
548,0,3,1,33.0,363291,20.525,S,2
549,1,2,1,8.0,C.A. 33112,36.75,S,2
550,1,1,1,17.0,17421,110.8833,C,2
551,0,2,1,27.0,244358,26.0,S,0
552,0,3,1,29.69911764705882,330979,7.8292,Q,0
553,1,3,1,22.0,2620,7.225,C,0
554,1,3,0,22.0,347085,7.775,S,0
555,0,1,1,62.0,113807,26.55,S,0
556,1,1,0,48.0,11755,39.6,C,1
557,0,1,1,29.69911764705882,PC 17757,227.525,C,0
558,1,1,0,39.0,110413,79.65,S,2
559,1,3,0,36.0,345572,17.4,S,1
560,0,3,1,29.69911764705882,372622,7.75,Q,0
561,0,3,1,40.0,349251,7.8958,S,0
562,0,2,1,28.0,218629,13.5,S,0
563,0,3,1,29.69911764705882,SOTON/OQ 392082,8.05,S,0
564,0,3,0,29.69911764705882,SOTON/O.Q. 392087,8.05,S,0
565,0,3,1,24.0,A/4 48871,24.15,S,2
566,0,3,1,19.0,349205,7.8958,S,0
567,0,3,0,29.0,349909,21.075,S,4
568,0,3,1,29.69911764705882,2686,7.2292,C,0
569,1,3,1,32.0,350417,7.8542,S,0
570,1,2,1,62.0,S.W./PP 752,10.5,S,0
571,1,1,0,53.0,11769,51.4792,S,2
572,1,1,1,36.0,PC 17474,26.3875,S,0
573,1,3,0,29.69911764705882,14312,7.75,Q,0
574,0,3,1,16.0,A/4. 20589,8.05,S,0
575,0,3,1,19.0,358585,14.5,S,0
576,1,2,0,34.0,243880,13.0,S,0
577,1,1,0,39.0,13507,55.9,S,1
578,0,3,0,29.69911764705882,2689,14.4583,C,1
579,1,3,1,32.0,STON/O 2. 3101286,7.925,S,0
580,1,2,0,25.0,237789,30.0,S,2
581,1,1,0,39.0,17421,110.8833,C,2
582,0,2,1,54.0,28403,26.0,S,0
583,0,1,1,36.0,13049,40.125,C,0
584,0,3,1,29.69911764705882,3411,8.7125,C,0
585,1,1,0,18.0,110413,79.65,S,2
586,0,2,1,47.0,237565,15.0,S,0
587,1,1,1,60.0,13567,79.2,C,2
588,0,3,1,22.0,14973,8.05,S,0
589,0,3,1,29.69911764705882,A./5. 3235,8.05,S,0
590,0,3,1,35.0,STON/O 2. 3101273,7.125,S,0
591,1,1,0,52.0,36947,78.2667,C,1
592,0,3,1,47.0,A/5 3902,7.25,S,0
593,0,3,0,29.69911764705882,364848,7.75,Q,2
594,0,2,1,37.0,SC/AH 29037,26.0,S,1
595,0,3,1,36.0,345773,24.15,S,2
596,1,2,0,29.69911764705882,248727,33.0,S,0
597,0,3,1,49.0,LINE,0.0,S,0
598,0,3,1,29.69911764705882,2664,7.225,C,0
599,1,1,1,49.0,PC 17485,56.9292,C,1
600,1,2,0,24.0,243847,27.0,S,3
601,0,3,1,29.69911764705882,349214,7.8958,S,0
602,0,1,1,29.69911764705882,113796,42.4,S,0
603,0,3,1,44.0,364511,8.05,S,0
604,1,1,1,35.0,111426,26.55,C,0
605,0,3,1,36.0,349910,15.55,S,1
606,0,3,1,30.0,349246,7.8958,S,0
607,1,1,1,27.0,113804,30.5,S,0
608,1,2,0,22.0,SC/Paris 2123,41.5792,C,3
609,1,1,0,40.0,PC 17582,153.4625,S,0
610,0,3,0,39.0,347082,31.275,S,6
611,0,3,1,29.69911764705882,SOTON/O.Q. 3101305,7.05,S,0
612,1,3,0,29.69911764705882,367230,15.5,Q,1
613,0,3,1,29.69911764705882,370377,7.75,Q,0
614,0,3,1,35.0,364512,8.05,S,0
615,1,2,0,24.0,220845,65.0,S,3
616,0,3,1,34.0,347080,14.4,S,2
617,0,3,0,26.0,A/5. 3336,16.1,S,1
618,1,2,0,4.0,230136,39.0,S,3
619,0,2,1,26.0,31028,10.5,S,0
620,0,3,1,27.0,2659,14.4542,C,1
621,1,1,1,42.0,11753,52.5542,S,1
622,1,3,1,20.0,2653,15.7417,C,2
623,0,3,1,21.0,350029,7.8542,S,0
624,0,3,1,21.0,54636,16.1,S,0
625,0,1,1,61.0,36963,32.3208,S,0
626,0,2,1,57.0,219533,12.35,Q,0
627,1,1,0,21.0,13502,77.9583,S,0
628,0,3,1,26.0,349224,7.8958,S,0
629,0,3,1,29.69911764705882,334912,7.7333,Q,0
630,1,1,1,80.0,27042,30.0,S,0
631,0,3,1,51.0,347743,7.0542,S,0
632,1,1,1,32.0,13214,30.5,C,0
633,0,1,1,29.69911764705882,112052,0.0,S,0
634,0,3,0,9.0,347088,27.9,S,5
635,1,2,0,28.0,237668,13.0,S,0
636,0,3,1,32.0,STON/O 2. 3101292,7.925,S,0
637,0,2,1,31.0,C.A. 31921,26.25,S,2
638,0,3,0,41.0,3101295,39.6875,S,5
639,0,3,1,29.69911764705882,376564,16.1,S,1
640,0,3,1,20.0,350050,7.8542,S,0
641,1,1,0,24.0,PC 17477,69.3,C,0
642,0,3,0,2.0,347088,27.9,S,5
643,1,3,1,29.69911764705882,1601,56.4958,S,0
644,1,3,0,0.75,2666,19.2583,C,3
645,1,1,1,48.0,PC 17572,76.7292,C,1
646,0,3,1,19.0,349231,7.8958,S,0
647,1,1,1,56.0,13213,35.5,C,0
648,0,3,1,29.69911764705882,S.O./P.P. 751,7.55,S,0
649,1,3,0,23.0,CA. 2314,7.55,S,0
650,0,3,1,29.69911764705882,349221,7.8958,S,0
651,1,2,0,18.0,231919,23.0,S,1
652,0,3,1,21.0,8475,8.4333,S,0
653,1,3,0,29.69911764705882,330919,7.8292,Q,0
654,0,3,0,18.0,365226,6.75,Q,0
655,0,2,1,24.0,S.O.C. 14879,73.5,S,2
656,0,3,1,29.69911764705882,349223,7.8958,S,0
657,0,3,0,32.0,364849,15.5,Q,2
658,0,2,1,23.0,29751,13.0,S,0
659,0,1,1,58.0,35273,113.275,C,2
660,1,1,1,50.0,PC 17611,133.65,S,2
661,0,3,1,40.0,2623,7.225,C,0
662,0,1,1,47.0,5727,25.5875,S,0
663,0,3,1,36.0,349210,7.4958,S,0
664,1,3,1,20.0,STON/O 2. 3101285,7.925,S,1
665,0,2,1,32.0,S.O.C. 14879,73.5,S,2
666,0,2,1,25.0,234686,13.0,S,0
667,0,3,1,29.69911764705882,312993,7.775,S,0
668,0,3,1,43.0,A/5 3536,8.05,S,0
669,1,1,0,29.69911764705882,19996,52.0,S,1
670,1,2,0,40.0,29750,39.0,S,2
671,0,1,1,31.0,F.C. 12750,52.0,S,1
672,0,2,1,70.0,C.A. 24580,10.5,S,0
673,1,2,1,31.0,244270,13.0,S,0
674,0,2,1,29.69911764705882,239856,0.0,S,0
675,0,3,1,18.0,349912,7.775,S,0
676,0,3,1,24.5,342826,8.05,S,0
677,1,3,0,18.0,4138,9.8417,S,0
678,0,3,0,43.0,CA 2144,46.9,S,7
679,1,1,1,36.0,PC 17755,512.3292,C,1
680,0,3,0,29.69911764705882,330935,8.1375,Q,0
681,1,1,1,27.0,PC 17572,76.7292,C,0
682,0,3,1,20.0,6563,9.225,S,0
683,0,3,1,14.0,CA 2144,46.9,S,7
684,0,2,1,60.0,29750,39.0,S,2
685,0,2,1,25.0,SC/Paris 2123,41.5792,C,3
686,0,3,1,14.0,3101295,39.6875,S,5
687,0,3,1,19.0,349228,10.1708,S,0
688,0,3,1,18.0,350036,7.7958,S,0
689,1,1,0,15.0,24160,211.3375,S,1
690,1,1,1,31.0,17474,57.0,S,1
691,1,3,0,4.0,349256,13.4167,C,1
692,1,3,1,29.69911764705882,1601,56.4958,S,0
693,0,3,1,25.0,2672,7.225,C,0
694,0,1,1,60.0,113800,26.55,S,0
695,0,2,1,52.0,248731,13.5,S,0
696,0,3,1,44.0,363592,8.05,S,0
697,1,3,0,29.69911764705882,35852,7.7333,Q,0
698,0,1,1,49.0,17421,110.8833,C,2
699,0,3,1,42.0,348121,7.65,S,0
700,1,1,0,18.0,PC 17757,227.525,C,1
701,1,1,1,35.0,PC 17475,26.2875,S,0
702,0,3,0,18.0,2691,14.4542,C,1
703,0,3,1,25.0,36864,7.7417,Q,0
704,0,3,1,26.0,350025,7.8542,S,1
705,0,2,1,39.0,250655,26.0,S,0
706,1,2,0,45.0,223596,13.5,S,0
707,1,1,1,42.0,PC 17476,26.2875,S,0
708,1,1,0,22.0,113781,151.55,S,0
709,1,3,1,29.69911764705882,2661,15.2458,C,2
710,1,1,0,24.0,PC 17482,49.5042,C,0
711,0,1,1,29.69911764705882,113028,26.55,S,0
712,1,1,1,48.0,19996,52.0,S,1
713,0,3,1,29.0,7545,9.4833,S,0
714,0,2,1,52.0,250647,13.0,S,0
715,0,3,1,19.0,348124,7.65,S,0
716,1,1,0,38.0,PC 17757,227.525,C,0
717,1,2,0,27.0,34218,10.5,S,0
718,0,3,1,29.69911764705882,36568,15.5,Q,0
719,0,3,1,33.0,347062,7.775,S,0
720,1,2,0,6.0,248727,33.0,S,1
721,0,3,1,17.0,350048,7.0542,S,1
722,0,2,1,34.0,12233,13.0,S,0
723,0,2,1,50.0,250643,13.0,S,0
724,1,1,1,27.0,113806,53.1,S,1
725,0,3,1,20.0,315094,8.6625,S,0
726,1,2,0,30.0,31027,21.0,S,3
727,1,3,0,29.69911764705882,36866,7.7375,Q,0
728,0,2,1,25.0,236853,26.0,S,1
729,0,3,0,25.0,STON/O2. 3101271,7.925,S,1
730,1,1,0,29.0,24160,211.3375,S,0
731,0,3,1,11.0,2699,18.7875,C,0
732,0,2,1,29.69911764705882,239855,0.0,S,0
733,0,2,1,23.0,28425,13.0,S,0
734,0,2,1,23.0,233639,13.0,S,0
735,0,3,1,28.5,54636,16.1,S,0
736,0,3,0,48.0,W./C. 6608,34.375,S,4
737,1,1,1,35.0,PC 17755,512.3292,C,0
738,0,3,1,29.69911764705882,349201,7.8958,S,0
739,0,3,1,29.69911764705882,349218,7.8958,S,0
740,1,1,1,29.69911764705882,16988,30.0,S,0
741,0,1,1,36.0,19877,78.85,S,1
742,1,1,0,21.0,PC 17608,262.375,C,4
743,0,3,1,24.0,376566,16.1,S,1
744,1,3,1,31.0,STON/O 2. 3101288,7.925,S,0
745,0,1,1,70.0,WE/P 5735,71.0,S,2
746,0,3,1,16.0,C.A. 2673,20.25,S,2
747,1,2,0,30.0,250648,13.0,S,0
748,0,1,1,19.0,113773,53.1,S,1
749,0,3,1,31.0,335097,7.75,Q,0
750,1,2,0,4.0,29103,23.0,S,2
751,1,3,1,6.0,392096,12.475,S,1
752,0,3,1,33.0,345780,9.5,S,0
753,0,3,1,23.0,349204,7.8958,S,0
754,1,2,0,48.0,220845,65.0,S,3
755,1,2,1,0.67,250649,14.5,S,2
756,0,3,1,28.0,350042,7.7958,S,0
757,0,2,1,18.0,29108,11.5,S,0
758,0,3,1,34.0,363294,8.05,S,0
759,1,1,0,33.0,110152,86.5,S,0
760,0,3,1,29.69911764705882,358585,14.5,S,0
761,0,3,1,41.0,SOTON/O2 3101272,7.125,S,0
762,1,3,1,20.0,2663,7.2292,C,0
763,1,1,0,36.0,113760,120.0,S,3
764,0,3,1,16.0,347074,7.775,S,0
765,1,1,0,51.0,13502,77.9583,S,1
766,0,1,1,29.69911764705882,112379,39.6,C,0
767,0,3,0,30.5,364850,7.75,Q,0
768,0,3,1,29.69911764705882,371110,24.15,Q,1
769,0,3,1,32.0,8471,8.3625,S,0
770,0,3,1,24.0,345781,9.5,S,0
771,0,3,1,48.0,350047,7.8542,S,0
772,0,2,0,57.0,S.O./P.P. 3,10.5,S,0
773,0,3,1,29.69911764705882,2674,7.225,C,0
774,1,2,0,54.0,29105,23.0,S,4
775,0,3,1,18.0,347078,7.75,S,0
776,0,3,1,29.69911764705882,383121,7.75,Q,0
777,1,3,0,5.0,364516,12.475,S,0
778,0,3,1,29.69911764705882,36865,7.7375,Q,0
779,1,1,0,43.0,24160,211.3375,S,1
780,1,3,0,13.0,2687,7.2292,C,0
781,1,1,0,17.0,17474,57.0,S,1
782,0,1,1,29.0,113501,30.0,S,0
783,0,3,1,29.69911764705882,W./C. 6607,23.45,S,3
784,0,3,1,25.0,SOTON/O.Q. 3101312,7.05,S,0
785,0,3,1,25.0,374887,7.25,S,0
786,1,3,0,18.0,3101265,7.4958,S,0
787,0,3,1,8.0,382652,29.125,Q,5
788,1,3,1,1.0,C.A. 2315,20.575,S,3
789,0,1,1,46.0,PC 17593,79.2,C,0
790,0,3,1,29.69911764705882,12460,7.75,Q,0
791,0,2,1,16.0,239865,26.0,S,0
792,0,3,0,29.69911764705882,CA. 2343,69.55,S,10
793,0,1,1,29.69911764705882,PC 17600,30.6958,C,0
794,0,3,1,25.0,349203,7.8958,S,0
795,0,2,1,39.0,28213,13.0,S,0
796,1,1,0,49.0,17465,25.9292,S,0
797,1,3,0,31.0,349244,8.6833,S,0
798,0,3,1,30.0,2685,7.2292,C,0
799,0,3,0,30.0,345773,24.15,S,2
800,0,2,1,34.0,250647,13.0,S,0
801,1,2,0,31.0,C.A. 31921,26.25,S,2
802,1,1,1,11.0,113760,120.0,S,3
803,1,3,1,0.42,2625,8.5167,C,1
804,1,3,1,27.0,347089,6.975,S,0
805,0,3,1,31.0,347063,7.775,S,0
806,0,1,1,39.0,112050,0.0,S,0
807,0,3,0,18.0,347087,7.775,S,0
808,0,2,1,39.0,248723,13.0,S,0
809,1,1,0,33.0,113806,53.1,S,1
810,0,3,1,26.0,3474,7.8875,S,0
811,0,3,1,39.0,A/4 48871,24.15,S,0
812,0,2,1,35.0,28206,10.5,S,0
813,0,3,0,6.0,347082,31.275,S,6
814,0,3,1,30.5,364499,8.05,S,0
815,0,1,1,29.69911764705882,112058,0.0,S,0
816,0,3,0,23.0,STON/O2. 3101290,7.925,S,0
817,0,2,1,31.0,S.C./PARIS 2079,37.0042,C,2
818,0,3,1,43.0,C 7075,6.45,S,0
819,0,3,1,10.0,347088,27.9,S,5
820,1,1,0,52.0,12749,93.5,S,2
821,1,3,1,27.0,315098,8.6625,S,0
822,0,1,1,38.0,19972,0.0,S,0
823,1,3,0,27.0,392096,12.475,S,1
824,0,3,1,2.0,3101295,39.6875,S,5
825,0,3,1,29.69911764705882,368323,6.95,Q,0
826,0,3,1,29.69911764705882,1601,56.4958,S,0
827,1,2,1,1.0,S.C./PARIS 2079,37.0042,C,2
828,1,3,1,29.69911764705882,367228,7.75,Q,0
829,1,1,0,62.0,113572,80.0,S,0
830,1,3,0,15.0,2659,14.4542,C,1
831,1,2,1,0.83,29106,18.75,S,2
832,0,3,1,29.69911764705882,2671,7.2292,C,0
833,0,3,1,23.0,347468,7.8542,S,0
834,0,3,1,18.0,2223,8.3,S,0
835,1,1,0,39.0,PC 17756,83.1583,C,2
836,0,3,1,21.0,315097,8.6625,S,0
837,0,3,1,29.69911764705882,392092,8.05,S,0
838,1,3,1,32.0,1601,56.4958,S,0
839,1,1,1,29.69911764705882,11774,29.7,C,0
840,0,3,1,20.0,SOTON/O2 3101287,7.925,S,0
841,0,2,1,16.0,S.O./P.P. 3,10.5,S,0
842,1,1,0,30.0,113798,31.0,C,0
843,0,3,1,34.5,2683,6.4375,C,0
844,0,3,1,17.0,315090,8.6625,S,0
845,0,3,1,42.0,C.A. 5547,7.55,S,0
846,0,3,1,29.69911764705882,CA. 2343,69.55,S,10
847,0,3,1,35.0,349213,7.8958,C,0
848,0,2,1,28.0,248727,33.0,S,1
849,1,1,0,29.69911764705882,17453,89.1042,C,1
850,0,3,1,4.0,347082,31.275,S,6
851,0,3,1,74.0,347060,7.775,S,0
852,0,3,0,9.0,2678,15.2458,C,2
853,1,1,0,16.0,PC 17592,39.4,S,1
854,0,2,0,44.0,244252,26.0,S,1
855,1,3,0,18.0,392091,9.35,S,1
856,1,1,0,45.0,36928,164.8667,S,2
857,1,1,1,51.0,113055,26.55,S,0
858,1,3,0,24.0,2666,19.2583,C,3
859,0,3,1,29.69911764705882,2629,7.2292,C,0
860,0,3,1,41.0,350026,14.1083,S,2
861,0,2,1,21.0,28134,11.5,S,1
862,1,1,0,48.0,17466,25.9292,S,0
863,0,3,0,29.69911764705882,CA. 2343,69.55,S,10
864,0,2,1,24.0,233866,13.0,S,0
865,1,2,0,42.0,236852,13.0,S,0
866,1,2,0,27.0,SC/PARIS 2149,13.8583,C,1
867,0,1,1,31.0,PC 17590,50.4958,S,0
868,0,3,1,29.69911764705882,345777,9.5,S,0
869,1,3,1,4.0,347742,11.1333,S,2
870,0,3,1,26.0,349248,7.8958,S,0
871,1,1,0,47.0,11751,52.5542,S,2
872,0,1,1,33.0,695,5.0,S,0
873,0,3,1,47.0,345765,9.0,S,0
874,1,2,0,28.0,P/PP 3381,24.0,C,1
875,1,3,0,15.0,2667,7.225,C,0
876,0,3,1,20.0,7534,9.8458,S,0
877,0,3,1,19.0,349212,7.8958,S,0
878,0,3,1,29.69911764705882,349217,7.8958,S,0
879,1,1,0,56.0,11767,83.1583,C,1
880,1,2,0,25.0,230433,26.0,S,1
881,0,3,1,33.0,349257,7.8958,S,0
882,0,3,0,22.0,7552,10.5167,S,0
883,0,2,1,28.0,C.A./SOTON 34068,10.5,S,0
884,0,3,1,25.0,SOTON/OQ 392076,7.05,S,0
885,0,3,0,39.0,382652,29.125,Q,5
886,0,2,1,27.0,211536,13.0,S,0
887,1,1,0,19.0,112053,30.0,S,0
888,0,3,0,29.69911764705882,W./C. 6607,23.45,S,3
889,1,1,1,26.0,111369,30.0,C,0
890,0,3,1,32.0,370376,7.75,Q,0
